video_id,title,channel_title,published_at,view_count,like_count,comment_count,activity,query
KnmeKUrIy8Y,Boston vs. Austin | Man Matching Final | 2026 Goaltimate Nationals,Ultiworld - Ultimate Frisbee,2026-03-31T16:00:00Z,4317,37,4,Goaltimate,goaltimate
e4FZsUHNHAo,Goaltimate Nationals Highlights Day 2,Ultiworld - Ultimate Frisbee,2025-04-14T19:51:17Z,4518,43,1,Goaltimate,goaltimate
nByyyC2YIEQ,Goaltimate Nationals 2026 - Semis - Scrubs vs Main Branch,Austin Ultimate Frisbee Clips,2026-03-24T12:11:33Z,66,1,0,Goaltimate,goaltimate
dmU5aDLP1Ws,Ultimate Goaltimate Championship ALL STAR GAME ft. Rowan McDonnell,Hawaii Goaltimate,2024-02-01T01:33:24Z,1664,25,5,Goaltimate,goaltimate
zXWuI4VgHB0,#GOALTIMATE CATCH OF THE YEAR early entry 2024! #frisbee #ultimatefrisbee #hawaii #disc #catch #girl,Hawaii Goaltimate,2024-02-07T04:09:49Z,5315,114,6,Goaltimate,goaltimate
L1cTOZM1NAU,What Is Goaltimate in Ultimate Frisbee?,ExpertVillage Leaf Group,2020-12-19T11:16:22Z,1142,6,1,Goaltimate,goaltimate
c1K7gOs8B-s,2024 Goaltimate Nationals Highlights,Ultiworld - Ultimate Frisbee,2024-04-06T17:33:14Z,7299,76,9,Goaltimate,goaltimate
Lf89TsqZXW8,Kansas City vs. Texas | Women&#39;s Final | 2024 Goaltimate National Championships,Ultiworld - Ultimate Frisbee,2024-04-17T15:45:29Z,2121,11,1,Goaltimate,goaltimate
VHvGeaVc-0c,Goaltimate Nationals 2024 - Pre-Quarters - SCRUBS (Austin) vs pdx (Portland),Austin Ultimate Frisbee Clips,2024-03-27T23:43:32Z,120,0,0,Goaltimate,goaltimate
2cV7krfxUpg,Goaltimate Nationals 2025 - SCRUBS vs 303,Austin Ultimate Frisbee Clips,2025-04-13T00:11:10Z,89,0,0,Goaltimate,goaltimate
vJE92_wdH8M,Goaltimate Nationals 2026 - Scrubs vs Swingin&#39; Friars,Austin Ultimate Frisbee Clips,2026-03-24T12:10:45Z,21,0,0,Goaltimate,goaltimate
fYX9XZioMb8,Mixed Goaltimate Nationals 2024 - ACD vs Bae Blades,Austin Ultimate Frisbee Clips,2025-01-22T16:27:00Z,92,1,0,Goaltimate,goaltimate
RSf1WODzrCM,MXD Goaltimate Nationals Finals - Seattle Co-ed Clunkers vs. Bay Area Roommates,Garrett Bush,2025-04-04T22:42:14Z,797,20,0,Goaltimate,goaltimate
3IT_jXpQqco,GOALTIMATE the sweet SCIENCE! #goaltimate #ultimatefrisbee #frisbee #hawaii #disc #southpaw #goalty,Hawaii Goaltimate,2024-02-08T13:38:32Z,12830,97,5,Goaltimate,goaltimate
FikMDjtlA4I,USA Ultimate - How to Play Hot Box Game,Funk Skunk,2013-04-27T16:22:27Z,14206,23,0,Hot Box,hot box frisbee
u0IEpcnUsqQ,Hot Box Frisbee,Media Milwaukee,2015-12-29T23:57:32Z,3542,7,NA,Hot Box,hot box frisbee
oye2Awd_UOE,Hot Box instruction,SkillfulPug,2023-10-17T18:08:25Z,283,0,0,Hot Box,hot box frisbee
jhU7DMJJOhI,Hot box Frisbee game (3 vs 2)- GoPro 8 -FULL HD,Tasim Is,2020-10-23T20:01:27Z,573,3,0,Hot Box,hot box frisbee
ThUqZdpZiL4,Jeju Ultimate: Video 1 Hot Box Highlights,Jacob Gentz,2012-09-21T01:03:16Z,1400,6,0,Hot Box,hot box frisbee
AF_ozvLAKps,His Frisbee Skills Are Insane (@frisbeeyourself),FitFix ,2024-08-31T14:00:09Z,348653,10044,133,Hot Box,hot box frisbee
wmOkXYC_vS0,Ultimate mode d&#39;emploi : Les Exercices,Fédération Française de Flying Disc FFFD,2011-02-03T10:31:59Z,97922,362,6,Hot Box,hot box frisbee
iI49xWzJ5U4,Today it&#39;s OUTSIDE the Hot Box! A very special episode!,Andrew Wehrlen (ABW Voice Overs),2017-09-09T21:15:34Z,43,0,0,Hot Box,hot box frisbee
mGnTbR6gj10,Mustard play hotbox,ekimmai2,2007-06-04T17:26:07Z,690,2,1,Hot Box,hot box frisbee
