video_id,title,channel_title,published_at,view_count,like_count,comment_count,activity,query
k1XYgNJnqUA,"Essential throws and tips in the sport of Escape!! frisbee (aka, DDC)",Escape!! Frisbee,2024-07-01T02:50:34Z,569,3,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
BGcyROTjW58,One does not simply layout D the Cardenas Twins,Ultiworld - Ultimate Frisbee,2024-07-05T15:44:48Z,43653198,653206,334,Double Disc Court,double disc court | ddc frisbee | escape frisbee
naYkjvbQx88,South Coast Escape!! Frisbee (DDC) Championship 2025 Finals,Escape!! Frisbee,2025-11-11T23:56:41Z,81,6,1,Double Disc Court,double disc court | ddc frisbee | escape frisbee
XkR1s7r-vgQ,Frisbee 🥏🥏 Throw technique💪🔥 #frisbee #throw #shorts #viral,Gurung Vj,2023-04-21T13:25:55Z,105600,NA,27,Double Disc Court,double disc court | ddc frisbee | escape frisbee
AGaT74MjYWY,"Great escapes from Escape!! Frisbee, double disc court, DDC",Escape!! Frisbee,2024-06-07T15:46:09Z,206,8,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
l0iL1CJng0g,The Hardest Shot in Disc Golf (Hyzer Flip to Late Turnover),JustDisc,2023-09-05T14:00:36Z,874279,11431,194,Double Disc Court,double disc court | ddc frisbee | escape frisbee
V9st-alR4eQ,Is the glitch the most unique disc in disc golf?! 👀🥏 #ace #discgolf,J-Milly Disc Golf,2023-03-30T21:23:46Z,9354686,283064,395,Double Disc Court,double disc court | ddc frisbee | escape frisbee
Iz-jb-XdmFQ,How to volley the frisbees in double disc court,Escape!! Frisbee,2024-02-18T22:11:31Z,3178,20,2,Double Disc Court,double disc court | ddc frisbee | escape frisbee
6_LHbt16_uk,"Double disc court, Escape frisbee, 8 June 2025",Escape!! Frisbee,2025-06-12T15:44:32Z,183,1,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
x7i90d5d170,"1 June 2025 Escape Frisbee, double disc court",Escape!! Frisbee,2025-06-03T02:43:03Z,42,1,0,Double Disc Court,double disc court | ddc frisbee | escape frisbee
